NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;ATTACK_MODE;
1;1;1;2:29.151;0;;1:20.154;0;34.470;0;34.527;0;62.2;2:29.151;15:16:29.151;1:20.154;0:34.470;0:34.527;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;2;1:39.472;0;;40.718;0;27.078;0;31.676;0;93.2;4:08.623;15:18:08.623;0:40.718;0:27.078;0:31.676;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;3;1:38.267;0;;39.274;0;27.571;0;31.422;0;94.3;5:46.890;15:19:46.890;0:39.274;0:27.571;0:31.422;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;4;3:18.492;0;;42.675;0;33.160;0;2:02.657;0;46.7;9:05.382;15:23:05.382;0:42.675;0:33.160;2:02.657;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;5;1:43.903;0;;45.498;0;27.761;0;30.644;0;89.2;10:49.285;15:24:49.285;0:45.498;0:27.761;0:30.644;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;6;1:35.140;0;;39.799;0;25.634;0;29.707;0;97.4;12:24.425;15:26:24.425;0:39.799;0:25.634;0:29.707;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;7;1:33.228;0;;38.790;0;25.405;0;29.033;0;99.4;13:57.653;15:27:57.653;0:38.790;0:25.405;0:29.033;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;8;1:32.754;0;;38.772;0;24.864;0;29.118;0;99.9;15:30.407;15:29:30.407;0:38.772;0:24.864;0:29.118;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;9;1:32.132;0;;37.963;0;25.188;0;28.981;0;100.6;17:02.539;15:31:02.539;0:37.963;0:25.188;0:28.981;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;10;1:31.910;0;;38.296;0;24.892;0;28.722;0;100.9;18:34.449;15:32:34.449;0:38.296;0:24.892;0:28.722;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;11;1:30.661;0;;37.839;0;24.428;0;28.394;0;102.2;20:05.110;15:34:05.110;0:37.839;0:24.428;0:28.394;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;12;1:30.201;0;;37.482;0;24.161;0;28.558;0;102.8;21:35.311;15:35:35.311;0:37.482;0:24.161;0:28.558;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;13;3:04.216;0;B;50.173;0;58.199;0;1:15.844;0;50.3;24:39.527;15:38:39.527;0:50.173;0:58.199;1:15.844;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;14;17:06.955;0;;14:40.384;0;27.496;0;1:59.075;0;9.0;41:46.482;15:55:46.482;14:40.384;0:27.496;1:59.075;;Pascal WEHRLEIN;0:14:13.993;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;15;1:39.175;0;;43.657;0;25.911;0;29.607;0;93.5;43:25.657;15:57:25.657;0:43.657;0:25.911;0:29.607;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;16;1:31.170;0;;38.214;0;24.614;0;28.342;0;101.7;44:56.827;15:58:56.827;0:38.214;0:24.614;0:28.342;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;17;1:30.586;0;;37.525;0;24.280;0;28.781;0;102.3;46:27.413;16:00:27.413;0:37.525;0:24.280;0:28.781;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;18;1:30.794;0;;38.176;0;24.175;0;28.443;0;102.1;47:58.207;16:01:58.207;0:38.176;0:24.175;0:28.443;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;19;1:29.353;0;;37.053;0;24.213;0;28.087;0;103.7;49:27.560;16:03:27.560;0:37.053;0:24.213;0:28.087;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;20;1:29.125;0;;37.546;0;23.797;0;27.782;0;104.0;50:56.685;16:04:56.685;0:37.546;0:23.797;0:27.782;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;21;1:28.253;0;;37.945;0;23.161;0;27.147;0;105.0;52:24.938;16:06:24.938;0:37.945;0:23.161;0:27.147;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;true;
1;1;22;1:25.735;0;;36.273;0;22.636;0;26.826;0;108.1;53:50.673;16:07:50.673;0:36.273;0:22.636;0:26.826;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;true;
1;1;23;1:26.273;0;;36.088;0;22.947;0;27.238;0;107.4;55:16.946;16:09:16.946;0:36.088;0:22.947;0:27.238;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;true;
