NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
007;1;1;2:12.381;0;;37.526;0;1:02.835;0;32.020;0;187.1;2:12.381;14:03:04.538;0:37.526;1:02.835;0:32.020;244.6;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;37.526;62.835;32.020;
007;1;2;2:07.157;0;;35.407;0;59.531;0;32.219;0;198.3;4:19.538;14:05:11.695;0:35.407;0:59.531;0:32.219;296.1;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.407;59.531;32.219;
007;1;3;2:05.943;2;;35.200;0;58.746;2;31.997;0;200.2;6:25.481;14:07:17.638;0:35.200;0:58.746;0:31.997;285.2;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.200;58.746;31.997;
007;1;4;2:06.429;0;;35.170;0;59.007;0;32.252;0;199.4;8:31.910;14:09:24.067;0:35.170;0:59.007;0:32.252;284.4;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.170;59.007;32.252;
007;1;5;2:06.532;0;;35.527;0;59.091;0;31.914;0;199.3;10:38.442;14:11:30.599;0:35.527;0:59.091;0:31.914;283.7;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.527;59.091;31.914;
007;1;6;2:06.714;0;;35.213;0;59.345;0;32.156;0;199.0;12:45.156;14:13:37.313;0:35.213;0:59.345;0:32.156;285.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.213;59.345;32.156;
007;1;7;2:06.200;0;;35.055;0;59.046;0;32.099;0;199.8;14:51.356;14:15:43.513;0:35.055;0:59.046;0:32.099;287.4;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.055;59.046;32.099;
007;1;8;2:07.103;0;;35.152;0;59.621;0;32.330;0;198.4;16:58.459;14:17:50.616;0:35.152;0:59.621;0:32.330;289.0;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.152;59.621;32.330;
007;1;9;2:10.809;0;;35.222;0;1:02.277;0;33.310;0;192.8;19:09.268;14:20:01.425;0:35.222;1:02.277;0:33.310;266.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.222;62.277;33.310;
007;1;10;2:11.382;0;;37.229;0;1:01.817;0;32.336;0;191.9;21:20.650;14:22:12.807;0:37.229;1:01.817;0:32.336;277.8;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;37.229;61.817;32.336;
007;1;11;2:06.832;0;;35.366;0;59.640;0;31.826;0;198.8;23:27.482;14:24:19.639;0:35.366;0:59.640;0:31.826;286.7;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.366;59.640;31.826;
007;1;12;2:06.447;0;;35.081;0;59.476;0;31.890;0;199.4;25:33.929;14:26:26.086;0:35.081;0:59.476;0:31.890;288.2;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.081;59.476;31.890;
007;1;13;2:06.426;0;;35.316;0;59.270;0;31.840;0;199.4;27:40.355;14:28:32.512;0:35.316;0:59.270;0:31.840;284.4;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.316;59.270;31.840;
007;1;14;2:06.354;0;;34.815;0;59.433;0;32.106;0;199.6;29:46.709;14:30:38.866;0:34.815;0:59.433;0:32.106;291.3;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.815;59.433;32.106;
007;1;15;2:07.042;0;;34.979;0;59.781;0;32.282;0;198.5;31:53.751;14:32:45.908;0:34.979;0:59.781;0:32.282;290.5;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.979;59.781;32.282;
007;1;16;2:07.432;0;;35.248;0;1:00.129;0;32.055;0;197.9;34:01.183;14:34:53.340;0:35.248;1:00.129;0:32.055;289.0;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.248;60.129;32.055;
007;1;17;2:07.692;0;;34.770;0;1:00.054;0;32.868;0;197.5;36:08.875;14:37:01.032;0:34.770;1:00.054;0:32.868;291.3;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.770;60.054;32.868;
007;1;18;2:09.757;0;;35.046;0;1:02.585;0;32.126;0;194.3;38:18.632;14:39:10.789;0:35.046;1:02.585;0:32.126;284.4;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.046;62.585;32.126;
007;1;19;2:09.318;0;;35.007;0;1:02.486;0;31.825;0;195.0;40:27.950;14:41:20.107;0:35.007;1:02.486;0:31.825;287.4;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.007;62.486;31.825;
007;1;20;2:07.887;0;;36.631;0;59.608;0;31.648;2;197.2;42:35.837;14:43:27.994;0:36.631;0:59.608;0:31.648;279.3;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;36.631;59.608;31.648;
007;1;21;2:06.599;0;;34.688;0;59.726;0;32.185;0;199.2;44:42.436;14:45:34.593;0:34.688;0:59.726;0:32.185;285.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.688;59.726;32.185;
007;1;22;2:06.544;0;;34.889;0;59.666;0;31.989;0;199.3;46:48.980;14:47:41.137;0:34.889;0:59.666;0:31.989;285.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.889;59.666;31.989;
007;1;23;3:16.979;0;;34.799;0;1:42.869;0;59.311;0;128.0;50:05.959;14:50:58.116;0:34.799;1:42.869;0:59.311;285.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.799;102.869;59.311;
007;1;24;2:07.440;0;;35.580;0;59.744;0;32.116;0;197.9;52:13.399;14:53:05.556;0:35.580;0:59.744;0:32.116;288.2;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.580;59.744;32.116;
007;1;25;2:12.621;0;B;34.732;0;59.367;0;38.522;0;190.1;54:26.020;14:55:18.177;0:34.732;0:59.367;0:38.522;286.7;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.732;59.367;38.522;
007;1;26;3:08.024;0;;1:33.865;0;1:01.802;0;32.357;0;134.1;57:34.044;14:58:26.201;1:33.865;1:01.802;0:32.357;291.3;Harry TINCKNELL;0:01:08.633;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;93.865;61.802;32.357;
007;1;27;2:11.552;0;;37.043;0;1:02.000;0;32.509;0;191.7;59:45.596;15:00:37.753;0:37.043;1:02.000;0:32.509;274.3;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;37.043;62.000;32.509;
007;1;28;2:09.374;0;;35.126;0;1:02.070;0;32.178;0;194.9;1:01:54.970;15:02:47.127;0:35.126;1:02.070;0:32.178;285.2;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.126;62.070;32.178;
007;1;29;2:07.229;0;;35.081;0;1:00.122;0;32.026;0;198.2;1:04:02.199;15:04:54.356;0:35.081;1:00.122;0:32.026;280.7;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.081;60.122;32.026;
