NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
007;1;1;1:39.473;0;;21.542;0;33.183;0;44.748;0;169.8;1:39.473;13:03:22.516;0:21.542;0:33.183;0:44.748;;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;21.542;33.183;44.748;
007;1;2;1:35.434;0;;19.683;0;31.525;0;44.226;0;185.2;3:14.907;13:04:57.950;0:19.683;0:31.525;0:44.226;307.7;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.683;31.525;44.226;
007;1;3;1:34.529;0;;19.324;0;31.152;0;44.053;0;187.0;4:49.436;13:06:32.479;0:19.324;0:31.152;0:44.053;308.6;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.324;31.152;44.053;
007;1;4;1:34.186;0;;19.314;0;31.133;0;43.739;0;187.6;6:23.622;13:08:06.665;0:19.314;0:31.133;0:43.739;310.4;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.314;31.133;43.739;
007;1;5;1:33.964;0;;19.282;0;30.993;0;43.689;0;188.1;7:57.586;13:09:40.629;0:19.282;0:30.993;0:43.689;308.6;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.282;30.993;43.689;
007;1;6;1:34.150;0;;19.352;0;31.290;0;43.508;0;187.7;9:31.736;13:11:14.779;0:19.352;0:31.290;0:43.508;306.8;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.352;31.290;43.508;
007;1;7;1:34.176;0;;19.321;0;31.041;0;43.814;0;187.7;11:05.912;13:12:48.955;0:19.321;0:31.041;0:43.814;310.4;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.321;31.041;43.814;
007;1;8;1:34.854;0;;19.274;0;31.147;0;44.433;0;186.3;12:40.766;13:14:23.809;0:19.274;0:31.147;0:44.433;310.4;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.274;31.147;44.433;
007;1;9;1:37.745;0;;19.411;0;32.564;0;45.770;0;180.8;14:18.511;13:16:01.554;0:19.411;0:32.564;0:45.770;312.2;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.411;32.564;45.770;
007;1;10;1:39.133;0;;19.560;0;33.543;0;46.030;0;178.3;15:57.644;13:17:40.687;0:19.560;0:33.543;0:46.030;309.5;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.560;33.543;46.030;
