NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
007;1;1;2:57.046;0;;47.806;0;1:16.032;0;53.208;0;86.4;2:57.046;11:32:44.391;0:47.806;1:16.032;0:53.208;;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;47.806;76.032;53.208;
007;1;2;1:34.829;0;;26.969;0;47.818;0;20.042;0;163.6;4:31.875;11:34:19.220;0:26.969;0:47.818;0:20.042;178.5;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;26.969;47.818;20.042;
007;1;3;1:28.038;0;;22.897;0;45.169;0;19.972;0;176.2;5:59.913;11:35:47.258;0:22.897;0:45.169;0:19.972;239.7;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.897;45.169;19.972;
007;1;4;1:27.005;0;;22.415;0;44.500;0;20.090;0;178.3;7:26.918;11:37:14.263;0:22.415;0:44.500;0:20.090;239.7;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.415;44.500;20.090;
007;1;5;1:26.530;0;;22.270;0;44.221;0;20.039;0;179.3;8:53.448;11:38:40.793;0:22.270;0:44.221;0:20.039;239.2;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.270;44.221;20.039;
007;1;6;1:26.824;0;;22.236;0;44.512;0;20.076;0;178.7;10:20.272;11:40:07.617;0:22.236;0:44.512;0:20.076;252.5;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.236;44.512;20.076;
007;1;7;1:26.486;0;;22.247;0;44.176;0;20.063;0;179.4;11:46.758;11:41:34.103;0:22.247;0:44.176;0:20.063;248.5;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.247;44.176;20.063;
007;1;8;1:26.723;0;;22.293;0;44.340;0;20.090;0;178.9;13:13.481;11:43:00.826;0:22.293;0:44.340;0:20.090;257.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.293;44.340;20.090;
007;1;9;1:26.856;0;;22.255;0;44.496;0;20.105;0;178.6;14:40.337;11:44:27.682;0:22.255;0:44.496;0:20.105;254.3;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.255;44.496;20.105;
007;1;10;1:29.449;0;;22.465;0;46.497;0;20.487;0;173.4;16:09.786;11:45:57.131;0:22.465;0:46.497;0:20.487;254.3;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.465;46.497;20.487;
