NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
12;1;1;1:53.136;0;;35.849;0;42.010;0;35.277;0;164.3;1:53.136;14:02:17.190;0:35.849;0:42.010;0:35.277;;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;35.849;42.010;35.277;
12;1;2;1:52.087;0;;35.358;0;41.716;0;35.013;2;173.8;3:45.223;14:04:09.277;0:35.358;0:41.716;0:35.013;265.6;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;35.358;41.716;35.013;
12;1;3;1:52.458;0;;35.539;0;41.821;0;35.098;0;173.2;5:37.681;14:06:01.735;0:35.539;0:41.821;0:35.098;277.1;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;35.539;41.821;35.098;
12;1;4;1:52.557;0;;35.566;0;41.830;0;35.161;0;173.1;7:30.238;14:07:54.292;0:35.566;0:41.830;0:35.161;261.7;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;35.566;41.830;35.161;
12;1;5;1:53.025;0;;35.718;0;41.973;0;35.334;0;172.4;9:23.263;14:09:47.317;0:35.718;0:41.973;0:35.334;255.6;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;35.718;41.973;35.334;
12;1;6;1:53.177;0;;35.736;0;42.019;0;35.422;0;172.1;11:16.440;14:11:40.494;0:35.736;0:42.019;0:35.422;263.0;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;35.736;42.019;35.422;
12;1;7;1:53.391;0;;35.799;0;42.225;0;35.367;0;171.8;13:09.831;14:13:33.885;0:35.799;0:42.225;0:35.367;266.9;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;35.799;42.225;35.367;
12;1;8;1:53.813;0;;35.836;0;42.313;0;35.664;0;171.2;15:03.644;14:15:27.698;0:35.836;0:42.313;0:35.664;263.0;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;35.836;42.313;35.664;
12;1;9;1:55.495;0;;36.238;0;43.339;0;35.918;0;168.7;16:59.139;14:17:23.193;0:36.238;0:43.339;0:35.918;261.7;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;36.238;43.339;35.918;
12;1;10;1:55.678;0;;36.014;0;43.345;0;36.319;0;168.4;18:54.817;14:19:18.871;0:36.014;0:43.345;0:36.319;268.9;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;36.014;43.345;36.319;
12;1;11;1:54.837;0;;36.320;0;42.904;0;35.613;0;169.7;20:49.654;14:21:13.708;0:36.320;0:42.904;0:35.613;267.6;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;36.320;42.904;35.613;
12;1;12;1:54.013;0;;35.986;0;42.354;0;35.673;0;170.9;22:43.667;14:23:07.721;0:35.986;0:42.354;0:35.673;264.9;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;35.986;42.354;35.673;
12;1;13;1:54.194;0;;35.924;0;42.574;0;35.696;0;170.6;24:37.861;14:25:01.915;0:35.924;0:42.574;0:35.696;266.9;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;35.924;42.574;35.696;
12;1;14;1:54.233;0;;36.049;0;42.521;0;35.663;0;170.6;26:32.094;14:26:56.148;0:36.049;0:42.521;0:35.663;266.9;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;36.049;42.521;35.663;
12;1;15;1:54.131;0;;35.942;0;42.486;0;35.703;0;170.7;28:26.225;14:28:50.279;0:35.942;0:42.486;0:35.703;266.2;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;35.942;42.486;35.703;
12;1;16;1:54.598;0;;36.064;0;42.651;0;35.883;0;170.0;30:20.823;14:30:44.877;0:36.064;0:42.651;0:35.883;269.6;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;36.064;42.651;35.883;
12;1;17;1:54.602;0;;35.916;0;42.733;0;35.953;0;170.0;32:15.425;14:32:39.479;0:35.916;0:42.733;0:35.953;266.9;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;35.916;42.733;35.953;
12;1;18;1:56.012;0;;36.234;0;43.311;0;36.467;0;167.9;34:11.437;14:34:35.491;0:36.234;0:43.311;0:36.467;261.1;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;36.234;43.311;36.467;
12;1;19;1:55.705;0;;36.245;0;43.007;0;36.453;0;168.4;36:07.142;14:36:31.196;0:36.245;0:43.007;0:36.453;266.2;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;36.245;43.007;36.453;
12;1;20;1:55.219;0;;36.058;0;43.086;0;36.075;0;169.1;38:02.361;14:38:26.415;0:36.058;0:43.086;0:36.075;263.0;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;36.058;43.086;36.075;
12;1;21;1:55.360;0;;36.330;0;43.113;0;35.917;0;168.9;39:57.721;14:40:21.775;0:36.330;0:43.113;0:35.917;262.4;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;36.330;43.113;35.917;
12;1;22;1:54.949;0;;36.029;0;42.921;0;35.999;0;169.5;41:52.670;14:42:16.724;0:36.029;0:42.921;0:35.999;261.7;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;36.029;42.921;35.999;
12;1;23;1:55.282;0;;36.234;0;42.970;0;36.078;0;169.0;43:47.952;14:44:12.006;0:36.234;0:42.970;0:36.078;261.1;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;36.234;42.970;36.078;
12;1;24;1:54.969;0;;36.118;0;42.804;0;36.047;0;169.5;45:42.921;14:46:06.975;0:36.118;0:42.804;0:36.047;274.3;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;36.118;42.804;36.047;
12;1;25;1:54.810;0;;36.163;0;42.768;0;35.879;0;169.7;47:37.731;14:48:01.785;0:36.163;0:42.768;0:35.879;263.0;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;36.163;42.768;35.879;
12;1;26;1:55.413;0;;36.165;0;42.969;0;36.279;0;168.8;49:33.144;14:49:57.198;0:36.165;0:42.969;0:36.279;261.1;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;36.165;42.969;36.279;
12;1;27;1:55.841;0;;36.030;0;43.006;0;36.805;0;168.2;51:28.985;14:51:53.039;0:36.030;0:43.006;0:36.805;261.7;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;36.030;43.006;36.805;
12;1;28;1:54.988;0;;35.967;0;43.246;0;35.775;0;169.4;53:23.973;14:53:48.027;0:35.967;0:43.246;0:35.775;268.2;Will STEVENS;;HYPERCAR;H;Hertz Team JOTA;Porsche;GF;35.967;43.246;35.775;
