NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
007;1;1;1:35.343;0;;22.962;0;30.350;0;42.031;0;160.7;1:35.343;11:02:32.086;0:22.962;0:30.350;0:42.031;;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.962;30.350;42.031;
007;1;2;1:32.508;0;;22.823;0;29.150;0;40.535;0;177.6;3:07.851;11:04:04.594;0:22.823;0:29.150;0:40.535;292.7;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.823;29.150;40.535;
007;1;3;1:32.372;0;;22.486;0;29.099;0;40.787;0;177.8;4:40.223;11:05:36.966;0:22.486;0:29.099;0:40.787;294.3;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.486;29.099;40.787;
007;1;4;1:31.467;0;;22.059;1;29.038;0;40.370;2;179.6;6:11.690;11:07:08.433;0:22.059;0:29.038;0:40.370;311.2;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.059;29.038;40.370;
007;1;5;1:31.915;0;;22.335;0;28.991;0;40.589;0;178.7;7:43.605;11:08:40.348;0:22.335;0:28.991;0:40.589;295.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.335;28.991;40.589;
007;1;6;1:31.909;0;;22.229;0;28.989;0;40.691;0;178.7;9:15.514;11:10:12.257;0:22.229;0:28.989;0:40.691;299.2;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.229;28.989;40.691;
007;1;7;1:31.980;0;;22.173;0;28.768;0;41.039;0;178.6;10:47.494;11:11:44.237;0:22.173;0:28.768;0:41.039;300.8;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.173;28.768;41.039;
007;1;8;1:32.448;0;;22.308;0;29.108;0;41.032;0;177.7;12:19.942;11:13:16.685;0:22.308;0:29.108;0:41.032;295.1;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.308;29.108;41.032;
007;1;9;1:50.866;0;;22.465;0;29.205;0;59.196;0;148.2;14:10.808;11:15:07.551;0:22.465;0:29.205;0:59.196;301.7;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.465;29.205;59.196;
007;1;10;1:33.638;0;;22.563;0;29.426;0;41.649;0;175.4;15:44.446;11:16:41.189;0:22.563;0:29.426;0:41.649;298.3;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.563;29.426;41.649;
