NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
007;1;1;1:42.619;0;;22.372;0;34.127;0;46.120;0;164.6;1:42.619;13:03:08.129;0:22.372;0:34.127;0:46.120;;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;22.372;34.127;46.120;
007;1;2;1:36.092;0;;19.964;0;31.564;0;44.564;0;183.9;3:18.711;13:04:44.221;0:19.964;0:31.564;0:44.564;309.5;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.964;31.564;44.564;
007;1;3;1:35.020;0;;19.584;0;31.338;0;44.098;0;186.0;4:53.731;13:06:19.241;0:19.584;0:31.338;0:44.098;308.6;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.584;31.338;44.098;
007;1;4;1:35.187;0;;19.520;0;31.411;0;44.256;0;185.7;6:28.918;13:07:54.428;0:19.520;0:31.411;0:44.256;307.7;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.520;31.411;44.256;
007;1;5;1:35.311;0;;19.604;0;31.354;0;44.353;0;185.4;8:04.229;13:09:29.739;0:19.604;0:31.354;0:44.353;306.8;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.604;31.354;44.353;
007;1;6;1:35.247;0;;19.514;0;31.272;0;44.461;0;185.5;9:39.476;13:11:04.986;0:19.514;0:31.272;0:44.461;305.1;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.514;31.272;44.461;
007;1;7;1:35.311;0;;19.459;0;31.482;0;44.370;0;185.4;11:14.787;13:12:40.297;0:19.459;0:31.482;0:44.370;305.1;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.459;31.482;44.370;
007;1;8;1:35.571;0;;19.588;0;31.413;0;44.570;0;184.9;12:50.358;13:14:15.868;0:19.588;0:31.413;0:44.570;305.1;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.588;31.413;44.570;
007;1;9;1:35.972;0;;19.443;0;31.398;0;45.131;0;184.1;14:26.330;13:15:51.840;0:19.443;0:31.398;0:45.131;306.8;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;19.443;31.398;45.131;
007;1;10;1:36.966;0;;20.252;0;32.118;0;44.596;0;182.3;16:03.296;13:17:28.806;0:20.252;0:32.118;0:44.596;307.7;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;20.252;32.118;44.596;
