NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
007;1;1;2:55.985;0;;40.391;0;1:04.673;0;1:10.921;0;106.7;2:55.985;13:03:24.017;0:40.391;1:04.673;1:10.921;131.7;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;40.391;64.673;70.921;
007;1;2;3:31.030;0;;34.763;0;1:17.110;0;1:39.157;0;94.0;6:27.015;13:06:55.047;0:34.763;1:17.110;1:39.157;100.5;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.763;77.110;99.157;
007;1;3;2:17.690;0;;33.326;0;45.831;0;58.533;0;144.1;8:44.705;13:09:12.737;0:33.326;0:45.831;0:58.533;203.0;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.326;45.831;58.533;
007;1;4;2:03.261;0;;25.435;0;44.584;0;53.242;0;161.0;10:47.966;13:11:15.998;0:25.435;0:44.584;0:53.242;231.8;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;25.435;44.584;53.242;
007;1;5;1:58.321;0;;24.601;0;43.821;0;49.899;0;167.7;12:46.287;13:13:14.319;0:24.601;0:43.821;0:49.899;254.7;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;24.601;43.821;49.899;
007;1;6;1:56.560;0;;24.541;0;43.505;0;48.514;0;170.3;14:42.847;13:15:10.879;0:24.541;0:43.505;0:48.514;268.0;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;24.541;43.505;48.514;
007;1;7;1:55.837;0;;24.278;0;43.730;0;47.829;0;171.3;16:38.684;13:17:06.716;0:24.278;0:43.730;0:47.829;274.8;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;24.278;43.730;47.829;
007;1;8;1:58.302;0;;24.468;0;43.665;0;50.169;0;167.8;18:36.986;13:19:05.018;0:24.468;0:43.665;0:50.169;272.0;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;FCY;24.468;43.665;50.169;
007;1;9;3:21.226;0;;58.753;0;1:33.464;0;49.009;0;98.6;21:58.212;13:22:26.244;0:58.753;1:33.464;0:49.009;228.8;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;58.753;93.464;49.009;
007;1;10;1:56.193;0;;24.745;0;43.763;0;47.685;0;170.8;23:54.405;13:24:22.437;0:24.745;0:43.763;0:47.685;288.8;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;24.745;43.763;47.685;
