NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
007;1;1;2:11.027;0;;36.893;0;1:01.928;0;32.206;0;189.1;2:11.027;14:03:02.190;0:36.893;1:01.928;0:32.206;292.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;36.893;61.928;32.206;
007;1;2;2:05.601;0;;34.670;0;59.282;0;31.649;0;200.7;4:16.628;14:05:07.791;0:34.670;0:59.282;0:31.649;309.6;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.670;59.282;31.649;
007;1;3;2:05.589;0;;34.773;0;59.132;0;31.684;0;200.8;6:22.217;14:07:13.380;0:34.773;0:59.132;0:31.684;306.1;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.773;59.132;31.684;
007;1;4;2:05.717;0;;34.764;0;59.147;0;31.806;0;200.6;8:27.934;14:09:19.097;0:34.764;0:59.147;0:31.806;290.5;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.764;59.147;31.806;
007;1;5;2:06.200;0;;34.753;0;59.590;0;31.857;0;199.8;10:34.134;14:11:25.297;0:34.753;0:59.590;0:31.857;296.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.753;59.590;31.857;
007;1;6;2:05.732;0;;34.537;0;59.411;0;31.784;0;200.5;12:39.866;14:13:31.029;0:34.537;0:59.411;0:31.784;293.7;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.537;59.411;31.784;
007;1;7;2:31.013;0;;34.453;0;1:01.624;0;54.936;0;167.0;15:10.879;14:16:02.042;0:34.453;1:01.624;0:54.936;293.7;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;SF;34.453;61.624;54.936;
007;1;8;4:45.752;0;;1:29.003;0;1:54.055;0;1:22.694;0;88.2;19:56.631;14:20:47.794;1:29.003;1:54.055;1:22.694;95.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;SF;89.003;114.055;82.694;
007;1;9;3:07.525;0;;1:07.899;0;1:18.215;0;41.411;0;134.5;23:04.156;14:23:55.319;1:07.899;1:18.215;0:41.411;115.0;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;SF;67.899;78.215;41.411;
007;1;10;2:56.668;0;;47.816;0;1:19.380;0;49.472;0;142.7;26:00.824;14:26:51.987;0:47.816;1:19.380;0:49.472;195.6;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;47.816;79.380;49.472;
007;1;11;2:07.012;0;;34.835;0;1:00.238;0;31.939;0;198.5;28:07.836;14:28:58.999;0:34.835;1:00.238;0:31.939;298.5;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.835;60.238;31.939;
007;1;12;2:06.413;0;;34.503;0;1:00.035;0;31.875;0;199.5;30:14.249;14:31:05.412;0:34.503;1:00.035;0:31.875;291.3;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.503;60.035;31.875;
007;1;13;2:06.446;0;;34.611;0;1:00.006;0;31.829;0;199.4;32:20.695;14:33:11.858;0:34.611;1:00.006;0:31.829;292.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.611;60.006;31.829;
007;1;14;2:06.535;0;;34.718;0;59.760;0;32.057;0;199.3;34:27.230;14:35:18.393;0:34.718;0:59.760;0:32.057;285.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.718;59.760;32.057;
