NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;3;1;3:54.137;0;;1:17.510;0;1:39.179;0;57.448;0;105.8;3:54.137;13:33:57.959;1:17.510;1:39.179;0:57.448;114.3;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;2;3:14.953;0;;55.748;0;1:29.902;0;49.303;0;129.3;7:09.090;13:37:12.912;0:55.748;1:29.902;0:49.303;180.0;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;3;3:06.389;0;;48.518;0;1:29.601;0;48.270;0;135.3;10:15.479;13:40:19.301;0:48.518;1:29.601;0:48.270;180.3;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;4;3:27.390;0;;49.727;0;1:32.895;0;1:04.768;0;121.6;13:42.869;13:43:46.691;0:49.727;1:32.895;1:04.768;195.2;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;5;2:28.499;0;;41.385;0;1:10.373;0;36.741;0;169.8;16:11.368;13:46:15.190;0:41.385;1:10.373;0:36.741;229.6;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;6;2:27.896;0;;40.592;0;1:10.409;0;36.895;0;170.5;18:39.264;13:48:43.086;0:40.592;1:10.409;0:36.895;236.6;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;7;2:27.539;0;;39.399;0;1:11.237;0;36.903;0;170.9;21:06.803;13:51:10.625;0:39.399;1:11.237;0:36.903;249.1;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;8;2:26.832;0;;39.385;0;1:10.949;0;36.498;0;171.7;23:33.635;13:53:37.457;0:39.385;1:10.949;0:36.498;256.2;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;9;2:28.118;0;;39.114;0;1:12.215;0;36.789;0;170.2;26:01.753;13:56:05.575;0:39.114;1:12.215;0:36.789;266.2;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;10;2:27.298;0;;39.084;0;1:11.094;0;37.120;0;171.2;28:29.051;13:58:32.873;0:39.084;1:11.094;0:37.120;259.2;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;11;2:29.301;0;;39.315;0;1:12.266;0;37.720;0;168.9;30:58.352;14:01:02.174;0:39.315;1:12.266;0:37.720;242.4;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;12;2:29.869;0;;39.648;0;1:12.434;0;37.787;0;168.2;33:28.221;14:03:32.043;0:39.648;1:12.434;0:37.787;249.1;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;13;2:28.315;0;;39.638;0;1:11.596;0;37.081;0;170.0;35:56.536;14:06:00.358;0:39.638;1:11.596;0:37.081;243.5;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;14;2:30.886;0;;39.453;0;1:13.412;0;38.021;0;167.1;38:27.422;14:08:31.244;0:39.453;1:13.412;0:38.021;259.2;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;15;2:27.789;0;;39.791;0;1:11.072;0;36.926;0;170.6;40:55.211;14:10:59.033;0:39.791;1:11.072;0:36.926;255.0;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;16;2:37.020;0;B;40.304;0;1:11.254;0;45.462;0;160.6;43:32.231;14:13:36.053;0:40.304;1:11.254;0:45.462;263.0;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;17;3:23.985;0;;1:36.974;0;1:10.009;0;37.002;0;123.6;46:56.216;14:17:00.038;1:36.974;1:10.009;0:37.002;250.8;Norman NATO;0:01:08.870;LMP1;;Rebellion Racing;Rebellion;
1;3;18;2:21.716;0;;38.860;0;1:06.245;0;36.611;0;177.9;49:17.932;14:19:21.754;0:38.860;1:06.245;0:36.611;280.7;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;19;2:22.102;0;;39.663;0;1:07.012;0;35.427;0;177.4;51:40.034;14:21:43.856;0:39.663;1:07.012;0:35.427;281.5;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;20;2:20.576;0;;38.259;0;1:06.658;0;35.659;0;179.4;54:00.610;14:24:04.432;0:38.259;1:06.658;0:35.659;295.3;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;21;2:19.428;0;;38.584;0;1:05.228;0;35.616;0;180.8;56:20.038;14:26:23.860;0:38.584;1:05.228;0:35.616;292.9;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;22;2:18.660;0;;38.178;0;1:05.310;0;35.172;0;181.8;58:38.698;14:28:42.520;0:38.178;1:05.310;0:35.172;296.1;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;23;2:26.495;0;B;38.160;0;1:04.788;0;43.547;0;172.1;1:01:05.193;14:31:09.015;0:38.160;1:04.788;0:43.547;296.9;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;24;3:40.980;0;;1:28.023;0;1:11.092;0;1:01.865;0;114.1;1:04:46.173;14:34:49.995;1:28.023;1:11.092;1:01.865;270.9;Norman NATO;0:00:56.338;LMP1;;Rebellion Racing;Rebellion;
1;3;25;4:29.867;0;;1:17.729;0;1:53.710;0;1:18.428;0;93.4;1:09:16.040;14:39:19.862;1:17.729;1:53.710;1:18.428;91.2;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
